TeamNames,Year,Seed,Sweet Sixteen,Placement,ADJOE,ADJDE,efg%,efgd%,tor,tord,orb,drb,ftr,ftrd,2p%,2pd%,3p%,3pd%,adjt,wab,AdjEM-KP,AdjO-KP,AdjD-KP,AdjT-KP,Luck-KP,AdjEM-SOS-KP,AdjO-SOS-KP,AdjD-SOS-KP,AdjEM-NCSOS-KP
Oklahoma St.,2008,17,0,NoTourney,108,95.6,49.7,50.1,21.5,24.4,32.6,33.9,38.4,44.1,48.8,48.2,34.1,36.2,66.8,-1.5,10.78,109.1,98.4,64.2,-0.03,9.94,108.6,98.6,-0.76
Minnesota,2008,17,0,NoTourney,107.4,95.1,50.2,48.5,21.6,25.1,36,33.9,35,39.5,47.5,47.4,36.7,33.6,67.2,-1.1,11.34,108.4,97.1,65.1,-0.025,5.28,105.5,100.2,-6.47
Washington,2008,17,0,NoTourney,108.8,96.4,50,51.2,19.8,21.5,40.6,29.9,34.2,39.7,49,48.8,35.1,37.5,70.3,-2.3,11.36,109.7,98.4,68.6,-0.07,9.1,108.7,99.6,-1.56
California,2008,17,0,NoTourney,115.3,102.5,52.3,51.9,19.4,17.2,34.5,31.8,36.1,33.1,51.6,51.4,35.9,35.1,69.6,-1.3,11.51,115.8,104.3,67.8,-0.013,10.85,109.2,98.4,-2.47
Wake Forest,2008,17,0,NoTourney,106.2,94.4,48.3,49.1,19.6,23.9,33.9,33.8,34,36.8,49.2,47.1,31.1,35.1,70.7,-1.7,10.82,107.7,96.9,68.8,-0.016,6.85,106.2,99.3,-4.68
UAB,2008,17,0,NoTourney,108.8,96.8,52.2,46.8,20.4,19.8,32.2,30.6,39,37.1,49.9,45.1,37.5,33.6,68.9,-1.5,12.07,110.7,98.6,66.8,0.017,2.74,104.3,101.6,-1.59
Temple,2008,12,0,R64,111.2,98.9,54.1,49.1,19.1,19.3,28.5,32.4,35.3,31.8,53.3,46.5,36.9,35.7,65.6,-1.7,12.37,112.8,100.4,63.6,-0.018,6.08,107.4,101.3,3.73
Kentucky,2008,11,0,R64,106.6,94.9,52.7,45,23.7,19.7,32.9,33.8,41.1,42.4,51.5,43.1,36.9,32.6,64.3,-1.1,10.01,107.8,97.8,62.4,0.01,6.74,107.4,100.7,-3.13
VCU,2008,17,0,NoTourney,102.6,91.6,49.6,42.1,20.5,22.9,34.6,32.9,40.1,38,46.4,42.9,37.6,26.9,65.4,-0.3,11.45,104.7,93.2,63.6,-0.041,-1.67,102.4,104,2.99
Houston,2008,17,0,NoTourney,112.7,100.8,49.8,49.1,15.4,22.7,31.7,33.4,33.5,38.8,45.7,48.2,36.1,33.8,71,-1.7,11.28,114.2,102.9,69.1,-0.044,-0.9,102.2,103.1,-8.84
Dayton,2008,17,0,NoTourney,109.2,97.9,52.7,50.6,20.6,20.2,35.3,27.9,42.3,33.1,51.1,48.6,37.5,35.5,63.6,-0.7,12.08,111.8,99.7,61.6,0.055,5.31,106.5,101.2,-0.78
Tulsa,2008,17,0,NoTourney,105.6,94.9,50.4,46,22.8,18.1,36.4,29.5,38,31.5,49,44.6,35.3,32.8,66.1,-3.9,9.63,106.2,96.6,64.6,0.019,1.24,104.2,103,-8.17
Creighton,2008,17,0,NoTourney,106.4,95.6,51.6,48,21.2,22.8,32.5,31.7,33.3,36.7,49.8,45.2,36.2,35.6,67.9,-0.3,10.8,108.7,97.9,65.5,0.049,5.22,106.1,100.8,-2.82
South Alabama,2008,10,0,R64,110.5,99.5,53.9,48.4,20.6,20.4,37.9,30.5,46,31,53.3,47.3,36.8,33.5,66.7,-0.3,11.8,112.6,100.8,64.8,-0.002,-2.07,103.1,105.2,0.9
Utah,2008,17,0,NoTourney,109.1,98.4,53.8,47.8,19.6,18.1,26.9,25,31.1,40.4,51.4,44.8,38.8,35.7,64.3,-4.2,11.94,110.2,98.3,62.9,-0.111,5.24,106,100.8,2.23
Alabama,2008,17,0,NoTourney,109.5,99.1,51.4,50.2,18.5,20.2,36.5,31.9,33.5,33.9,50,48.3,36.3,35.5,68.6,-4.5,9.2,110.9,101.7,66.7,-0.055,5.7,107.2,101.5,-2.55
Rhode Island,2008,17,0,NoTourney,113.2,102.5,53.1,49.5,19.4,21.1,37.2,34.5,39.2,33.6,51.2,47.5,38,35.3,71.9,-2.3,11.2,115.1,103.9,69.6,-0.059,3.5,105.7,102.2,-1.83
Bradley,2008,17,0,NoTourney,111.1,100.7,52.3,50.8,20.2,21.7,31.2,33.4,36.4,37.8,49.3,49.2,37.4,36,70.4,-4.8,9.05,111.8,102.7,68.5,-0.022,5.32,105.6,100.3,0.54
Akron,2008,17,0,NoTourney,108.6,98.5,51.9,49.8,19.5,24.8,33.9,34.4,39.3,36.7,47.9,50.2,38.6,32.6,65.1,-2.9,10.48,110.9,100.4,62.8,-0.009,0.39,103,102.6,-4.22
IUPUI,2008,17,0,NoTourney,114.3,103.7,57,50.2,18.1,21.4,33.5,34.6,36.7,33.8,54.1,49.5,41.8,34.1,62.7,-1.5,11.68,116.5,104.8,60.9,-0.019,-3,102.9,105.9,-1.34
Oral Roberts,2008,13,0,R64,102.1,92.8,49.9,44.8,19.2,20.7,33.1,31.3,40.7,29.5,47.1,42.6,36.8,33.7,65.7,-0.9,10.27,104.7,94.5,63.6,0.032,-0.01,105.4,105.4,8.75
Duquesne,2008,17,0,NoTourney,107.1,97.5,51.7,48.1,21.4,24.3,37.1,37.1,39.6,35.9,54.2,45.4,31.6,36,76.1,-4.8,9.97,108.9,99,73.4,-0.086,1.74,105,103.2,-3
Missouri St.,2008,17,0,NoTourney,107.3,97.6,50.7,49.6,22.3,22.6,35.2,32.5,34.8,35.2,48.6,46.6,36.6,36.5,66.9,-5.9,8.39,108.2,99.8,65.1,-0.063,4.86,105.8,100.9,1.6
Virginia,2008,17,0,NoTourney,110.4,100.6,50.3,52,19.4,18.8,36.1,28.6,35.3,33.2,47.6,50.1,36.6,36.7,70,-3.4,8.11,110.5,102.4,68.4,-0.024,6.21,106.8,100.6,-6.23
Providence,2008,17,0,NoTourney,108.9,99.2,51.5,50.3,21.1,22,36.6,36.4,32.3,37.1,48.9,49.4,37.6,34.7,67.7,-3,9.4,110.1,100.8,66.3,-0.025,9.2,109.1,99.9,0.87
George Mason,2008,12,0,R64,108,98.7,52.3,47.5,18.7,18.4,32,27.9,39.8,27,52.4,46.4,34.7,33.2,63.7,-3.6,9.68,110.7,101,61.6,-0.01,-0.57,102.6,103.2,2.28
Miami OH,2008,17,0,NoTourney,106.2,97.1,51.5,48.6,20,20.3,31.1,33.2,30.9,30.9,50.6,48,35.6,33.2,59.7,-4.2,9.63,108.4,98.7,58,-0.038,6.42,106.4,100,13.46
Texas Tech,2008,17,0,NoTourney,105.3,96.3,50.2,51,19.9,21.8,26.3,33,47.6,34.8,48.4,48.8,36.7,36.8,70,-2.2,9.6,107.7,98.1,67.6,0.014,9.4,108.5,99.1,0.33
Charlotte,2008,17,0,NoTourney,102.5,93.9,47.1,49,20.6,24.3,33.3,32.9,41.7,41.2,44,47.4,34.4,34.2,68.8,-2.6,9.53,104.6,95.1,66.8,-0.006,5.77,107.1,101.4,2.45
Georgia,2008,14,0,R64,103.2,94.7,47.8,48.1,21.8,19,37.2,31.6,32.1,33.6,47.1,49.1,32.9,30.9,66.6,-3.9,8.08,104.3,96.2,64.7,-0.032,7.55,108.5,101,-4.1
New Mexico St.,2008,17,0,NoTourney,106.8,98.5,52.4,49.6,21.9,21.6,41.2,29.4,39,33.2,52.5,46.7,34.8,36.3,71.4,-5.5,6.85,108.1,101.3,69.7,-0.06,-2.2,103.5,105.7,4
San Diego St.,2008,17,0,NoTourney,102.9,95,49.1,50.5,20.9,23.1,32.8,28,36.6,33,48.9,49.3,33,35.2,66.1,-2.9,7.99,104.9,96.9,64.1,-0.006,3.21,104.5,101.2,-1.49
Western Michigan,2008,17,0,NoTourney,105.3,97.6,49.7,46.7,22,19.4,36.1,29.4,47.6,41.5,47,45.3,36.1,32.9,66,-4.6,7.92,108.1,100.2,63.8,-0.023,0.6,103.7,103.1,3.78
South Carolina,2008,17,0,NoTourney,107.9,100,50.4,51.1,15.5,21.9,30.7,37.3,22.6,27.5,48.1,50.9,36.4,34.4,67.1,-6.3,6.1,109.1,103,64.7,-0.086,6.41,108,101.6,-2.69
UCF,2008,17,0,NoTourney,107.7,99.9,51.7,48.2,20.3,21.7,34.1,33.4,37.2,42.2,50.2,46.8,36.3,33.6,66.8,-6.6,7.11,109.1,102,64.1,-0.106,1.2,103.8,102.6,-0.15
Boston College,2008,17,0,NoTourney,107.7,99.9,50.9,49.6,22.5,17.9,35.4,35.7,39.7,28.8,49.6,48.5,36,34.6,66.1,-4.7,6.37,108.9,102.6,64.2,-0.015,7.87,107.9,100,-4.02
Siena,2008,13,0,R32,106.8,99.2,50.5,51.8,15.5,23.9,31.4,36.5,36.3,25.4,48.1,49.5,37.4,37.6,69.2,-3.8,7.99,108.6,100.7,67.6,0.036,-1.41,104.1,105.5,3.69
LSU,2008,17,0,NoTourney,103.9,96.8,48.3,47.8,20.3,19.5,32,35.7,29.3,28,48.4,46.1,32.2,34.3,67.8,-7.1,5.2,104.9,99.7,65.6,-0.08,6.41,106.9,100.4,-1.03
Southern Miss,2008,17,0,NoTourney,106.7,99.6,47.5,49.9,19.4,19.2,36.1,28.1,48.6,43.2,47.3,49.2,32.1,34.3,65.4,-4.7,6.98,108.3,101.3,63.3,-0.03,3.04,105.1,102.1,-1.58
Cal St. Fullerton,2008,14,0,R64,109.1,101.8,54.2,52.7,18.3,23.6,32.6,30.2,32.3,32.9,52.3,51.2,38.4,37,74.1,-3.2,8.47,112.3,103.9,71.6,-0.01,-3.95,101.5,105.5,-3.01
North Carolina St.,2008,17,0,NoTourney,106.6,99.6,51.1,47.3,22.5,16,30.3,35.4,47.4,26.6,50.8,44.6,34.6,36.3,64.7,-3,5.65,107.6,101.9,62.7,0.043,9.18,108.6,99.4,-1.93
Ohio,2008,17,0,NoTourney,106.5,99.7,51.9,51.5,21.6,22,35,30.8,39.6,34.4,51.4,50.1,35.2,35.5,65.3,-4,7.55,109.7,102.1,63.2,0.019,2.4,104.3,101.9,3.06
UTEP,2008,17,0,NoTourney,104.2,97.6,48.8,49.4,17.9,23.3,30.7,30.5,45.7,49,48.5,47.3,33,35.4,73.2,-3.6,5.74,106.7,100.9,70.9,-0.013,1.46,103.6,102.2,-3.53
DePaul,2008,17,0,NoTourney,111,104.2,49.6,53.5,17.5,19.6,33.6,36.4,30.8,28.3,47.4,49.5,35.8,40.8,67.9,-6.5,5.28,111.8,106.6,65.7,-0.031,9.36,108.6,99.3,1.3
Cincinnati,2008,17,0,NoTourney,102.9,96.7,47.1,49.2,21.2,18.1,35.3,29.1,32.8,46.1,45.9,48.5,32.8,33.7,65.5,-5,6.58,104.8,98.2,63.5,-0.006,9.65,109,99.3,1.57
Cleveland St.,2008,17,0,NoTourney,100.5,94.5,47.6,47.7,21.2,21.7,34.2,30.7,39.1,43.3,48.3,47.5,30.4,32.1,66.9,-3.6,6.58,103.3,96.7,64.7,0.035,3.23,105.5,102.3,3.54
South Florida,2008,17,0,NoTourney,105.6,99.3,48.8,48.7,20.2,18.4,35.9,33.8,43,33.9,48.5,46.8,33,35.2,65.6,-7.9,5.41,107.4,102,63.4,-0.098,6.71,106.7,100,-0.93
Nevada,2008,17,0,NoTourney,106.9,100.7,53,47.5,20,17.4,32.7,32.4,36.9,32.1,52.4,44.9,36.3,36,68.9,-3.8,6.59,108.5,101.9,67.2,0.013,0.09,104.8,104.7,5.58
UNC Greensboro,2008,17,0,NoTourney,106.4,100.4,52.6,50.1,21.4,22.3,35.1,35.2,40.1,24.3,51.9,48,35.8,36.1,66.3,-4.5,6.96,108.1,101.2,64.6,0.014,0.04,104.1,104.1,3.59
Seton Hall,2008,17,0,NoTourney,108.7,102.6,48,51.1,16.9,21.4,33.7,38.4,36.7,39.3,46.6,48.8,33.8,37,71.2,-3.7,6,110.5,104.5,69.2,0.04,5.69,106.5,100.8,-5.3
Winthrop,2008,13,0,R64,96.3,90.9,49.6,46.6,19.8,23.3,33.2,29.2,35.6,33.6,46.7,46.7,37.2,31,63.5,-4.2,6.38,99.5,93.1,61.6,0,-1.01,105.1,106.1,7.81
San Diego,2008,13,0,R32,100,94.4,49.4,49,21.4,22.7,32.1,30.5,35.7,33.7,48.8,48.3,33.9,33.7,65.3,-3.9,4.64,101.6,97,63,0.045,1.43,104.3,102.9,2.61
Stephen F. Austin,2008,17,0,NoTourney,104.9,99,51.1,45.1,19.1,21.7,32.7,31.1,40.6,34.3,48.1,44.1,38,31.8,59.9,-1.4,7.53,107.6,100.1,57.6,0.029,-5.9,98.6,104.5,-4.99
Iowa St.,2008,17,0,NoTourney,99.8,94.3,46.8,47.2,20.2,18.1,28.2,31.6,33.5,27.8,47,44.3,31.1,36,65.8,-5.2,4.38,101.7,97.4,64.1,-0.015,8.14,107.5,99.3,-4.74
Colorado,2008,17,0,NoTourney,103.5,97.7,50.7,49.8,21.3,20.3,26.6,33.5,35,33.6,50.5,48.1,34,35.5,62.7,-7,4.29,104.7,100.4,60.9,-0.066,8.94,107.5,98.6,-2.23
Illinois Chicago,2008,17,0,NoTourney,103.1,97.5,50.3,48.2,19.9,20,31.3,30.8,32.6,26.7,46.5,46,38.5,34.6,67.5,-6.5,5.34,104.8,99.5,65.7,-0.015,2.2,104,101.8,4.11
Wright St.,2008,17,0,NoTourney,102.2,96.7,51.9,48.2,20.5,20,30,30.5,35.2,29.6,48.4,45.2,38.8,35.1,61.2,-3,5.04,104,98.9,59.7,0.064,0.47,104.4,103.9,0.07
